"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"0000",0,0,0.062,0,0,0,0
"1000",0,0,0,0,0,0,0
"0100",0,0,0,0,0,0,0
"0010",0,0,0,0,0,0,0
"0001",0,0.062,0,0.094,0,0,0
"1100",0.062,0.062,0.062,0,0,0,0
"1010",0,0,0,0,0,0,0
"1001",0,0,0,0,0,0,0
"0101",0,0.062,0,0,0,0,0
"0110",0,0,0,0,0,0,0
"0011",0,0,0,0.031,0.233,0.25,0.125
"1110",0.062,0.031,0,0.062,0,0,0
"1101",0.188,0.188,0.062,0.062,0,0,0
"1011",0,0,0,0.031,0,0,0
"0111",0,0,0,0,0.2,0.281,0.188
"1111",0.188,0.062,0.25,0.312,0.2,0.188,0.375
"n_extinct",0.5,0.531,0.562,0.406,0.367,0.281,0.312
"n_tot",16,32,16,32,30,32,16
